FASTA ID,Accession ID,Sample ID,Year,Country,Clade Designation,Native/Invasive,Latitude,Longitude,County/State,City/Town,Haplotype,Urban/Rural Habitat,Breeding habitat,Type of Collection
AlGeradif-31_Sudan,OK216713,AlGeradif-31,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-32_Sudan,OK216712,AlGeradif-32,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-33_Sudan,OK216711,AlGeradif-33,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-34_Sudan,OK216710,AlGeradif-34,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-35_Sudan,OK216709,AlGeradif-35,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-36_Sudan,OK216708,AlGeradif-36,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-37_Sudan,OK216707,AlGeradif-37,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-38_Sudan,OK216706,AlGeradif-38,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-39_Sudan,OK216705,AlGeradif-39,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-4_Sudan,OK216704,AlGeradif-4,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-40_Sudan,OK216703,AlGeradif-40,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-41_Sudan,OK216702,AlGeradif-41,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-42_Sudan,OK216701,AlGeradif-42,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-43_Sudan,OK216700,AlGeradif-43,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-44_Sudan,OK216699,AlGeradif-44,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-45_Sudan,OK216698,AlGeradif-45,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-46_Sudan,OK216697,AlGeradif-46,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-47_Sudan,OK216696,AlGeradif-47,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-48_Sudan,OK216695,AlGeradif-48,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-49_Sudan,OK216694,AlGeradif-49,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-5_Sudan,OK216693,AlGeradif-5,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-50_Sudan,OK216692,AlGeradif-50,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-51_Sudan,OK216691,AlGeradif-51,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-52_Sudan,OK216690,AlGeradif-52,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-53_Sudan,OK216689,AlGeradif-53,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-54_Sudan,OK216688,AlGeradif-54,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-55_Sudan,OK216687,AlGeradif-55,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-56_Sudan,OK216686,AlGeradif-56,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
